Stereotype,category,collective,event,kind,mode,phase,quality,relator,role,subkind,type,none,other
category,1.0,0.14019025293471732,0.12273910471213509,0.2424316877125579,0.38453453274168986,0.02747434652633735,0.20397070075972495,0.037709342951282476,0.06371692622611992,0.3316217224779212,0.40854572284115415,0.147035410624984,0.2666393267991141
collective,0.14019025293471732,1.0,-0.02921611155635199,0.27082897168564046,0.2294549567723638,0.3050601163323037,-0.051495769598815994,0.2885218408327454,0.1855690409178968,0.21096886479477905,0.1800518131274718,-0.14255598641711473,0.011357686488885492
event,0.12273910471213509,-0.02921611155635199,1.0,-0.195284270175203,0.1910097491983253,0.12237331646536068,0.12160649338832169,-0.037429087437775024,0.00018974106109616515,0.03448145900350902,0.3390521807941098,0.18572444899460186,0.3776927541568791
kind,0.2424316877125579,0.27082897168564046,-0.195284270175203,1.0,0.16478252082776593,0.2708964295066156,0.17872087471842255,0.36007848394143677,0.40760842204556125,0.6083368526627161,-0.09694963524894797,-0.008498838688834132,-0.20915657383853978
mode,0.38453453274168986,0.2294549567723638,0.1910097491983253,0.16478252082776593,1.0,0.11941785340060304,0.19953112561910863,0.14344452922682807,0.25664727567908396,0.2511898753592629,0.32908735356981983,0.22180452765182984,0.16406797098321657
phase,0.02747434652633735,0.3050601163323037,0.12237331646536068,0.2708964295066156,0.11941785340060304,1.0,0.12620400343493457,0.28376243646155586,0.4185797864404123,0.3493090182862928,0.05233805438440678,-0.04786859140716553,0.06733195765258936
quality,0.20397070075972495,-0.051495769598815994,0.12160649338832169,0.17872087471842255,0.19953112561910863,0.12620400343493457,1.0,0.12103919806003591,0.06731897298908193,0.3104152235027996,0.11412881706906897,0.14134695334334485,-0.057625275639141216
relator,0.037709342951282476,0.2885218408327454,-0.037429087437775024,0.36007848394143677,0.14344452922682807,0.28376243646155586,0.12103919806003591,1.0,0.4208883498287329,0.2337130285941659,0.11622616222537836,-0.17629740581360462,0.09016696450533375
role,0.06371692622611992,0.1855690409178968,0.00018974106109616515,0.40760842204556125,0.25664727567908396,0.4185797864404123,0.06731897298908193,0.4208883498287329,1.0,0.25307729423486974,0.05987450840680844,0.08512633876231855,0.04309183261254001
subkind,0.3316217224779212,0.21096886479477905,0.03448145900350902,0.6083368526627161,0.2511898753592629,0.3493090182862928,0.3104152235027996,0.2337130285941659,0.25307729423486974,1.0,0.07794589855037118,-0.027615775420254594,-0.06871492217419733
type,0.40854572284115415,0.1800518131274718,0.3390521807941098,-0.09694963524894797,0.32908735356981983,0.05233805438440678,0.11412881706906897,0.11622616222537836,0.05987450840680844,0.07794589855037118,1.0,0.11596929822675055,0.3919372073281078
none,0.147035410624984,-0.14255598641711473,0.18572444899460186,-0.008498838688834132,0.22180452765182984,-0.04786859140716553,0.14134695334334485,-0.17629740581360462,0.08512633876231855,-0.027615775420254594,0.11596929822675055,1.0,0.1863572894045967
other,0.2666393267991141,0.011357686488885492,0.3776927541568791,-0.20915657383853978,0.16406797098321657,0.06733195765258936,-0.057625275639141216,0.09016696450533375,0.04309183261254001,-0.06871492217419733,0.3919372073281078,0.1863572894045967,1.0
